,sample,episode,number_of_iter
0,200,50,6
1,200,50,5
2,200,50,5
3,200,50,6
4,200,50,10
5,200,50,5
6,200,50,9
7,200,50,4
8,200,50,7
9,200,50,4
10,200,50,7
11,200,50,7
12,200,50,6
13,200,50,10
14,200,50,9
15,200,50,8
16,200,50,8
17,200,50,7
18,200,50,8
19,200,50,9
20,200,50,6
21,200,50,8
22,200,50,11
23,200,50,8
24,200,50,6
25,200,50,6
26,200,50,7
27,200,50,11
28,200,50,7
29,200,50,9
30,200,50,7
31,200,50,8
32,200,50,7
33,200,50,11
34,200,50,7
35,200,50,6
36,200,50,5
37,200,50,6
38,200,50,7
39,200,50,5
40,200,50,5
41,200,50,6
42,200,50,6
43,200,50,12
44,200,50,10
45,200,50,8
46,200,50,5
47,200,50,7
48,200,50,8
49,200,50,12
50,200,50,8
51,200,50,7
52,200,50,6
53,200,50,9
54,200,50,6
55,200,50,8
56,200,50,11
57,200,50,8
58,200,50,5
59,200,50,6
60,200,50,6
61,200,50,9
62,200,50,9
63,200,50,8
64,200,50,6
65,200,50,7
66,200,50,7
67,200,50,9
68,200,50,8
69,200,50,6
70,200,50,6
71,200,50,7
72,200,50,7
73,200,50,9
74,200,50,8
75,200,50,7
76,200,50,7
77,200,50,10
78,200,50,6
79,200,50,7
80,200,50,9
81,200,50,11
82,200,50,6
83,200,50,7
84,200,50,8
85,200,50,6
86,200,50,9
87,200,50,6
88,200,50,5
89,200,50,9
90,200,50,6
91,200,50,5
92,200,50,9
93,200,50,6
94,200,50,6
95,200,50,6
96,200,50,8
97,200,50,8
98,200,50,8
99,200,50,5
100,200,50,10
101,200,50,7
102,200,50,8
103,200,50,5
104,200,50,7
105,200,50,7
106,200,50,8
107,200,50,7
108,200,50,7
109,200,50,8
110,200,50,7
111,200,50,5
112,200,50,6
113,200,50,8
114,200,50,6
115,200,50,5
116,200,50,5
117,200,50,5
118,200,50,6
119,200,50,5
120,200,50,4
121,200,50,8
122,200,50,8
123,200,50,8
124,200,50,7
125,200,50,9
126,200,50,4
127,200,50,6
128,200,50,6
129,200,50,6
130,200,50,6
131,200,50,8
132,200,50,6
133,200,50,5
134,200,50,9
135,200,50,6
136,200,50,11
137,200,50,5
138,200,50,9
139,200,50,10
140,200,50,9
141,200,50,8
142,200,50,5
143,200,50,6
144,200,50,7
145,200,50,7
146,200,50,7
147,200,50,8
148,200,50,7
149,200,50,5
150,200,50,6
151,200,50,8
152,200,50,6
153,200,50,5
154,200,50,4
155,200,50,7
156,200,50,7
157,200,50,9
158,200,50,7
159,200,50,9
160,200,50,7
161,200,50,6
162,200,50,7
163,200,50,6
164,200,50,6
165,200,50,6
166,200,50,8
167,200,50,8
168,200,50,6
169,200,50,6
170,200,50,10
171,200,50,7
172,200,50,8
173,200,50,6
174,200,50,7
175,200,50,8
176,200,50,5
177,200,50,4
178,200,50,9
179,200,50,6
180,200,50,6
181,200,50,6
182,200,50,8
183,200,50,8
184,200,50,6
185,200,50,5
186,200,50,8
187,200,50,6
188,200,50,8
189,200,50,4
190,200,50,8
191,200,50,6
192,200,50,5
193,200,50,7
194,200,50,4
195,200,50,6
196,200,50,7
197,200,50,5
198,200,50,7
199,200,50,7
200,200,100,8
201,200,100,7
202,200,100,5
203,200,100,6
204,200,100,8
205,200,100,5
206,200,100,7
207,200,100,9
208,200,100,5
209,200,100,10
210,200,100,8
211,200,100,8
212,200,100,8
213,200,100,7
214,200,100,7
215,200,100,8
216,200,100,6
217,200,100,6
218,200,100,8
219,200,100,6
220,200,100,5
221,200,100,6
222,200,100,6
223,200,100,7
224,200,100,5
225,200,100,7
226,200,100,6
227,200,100,10
228,200,100,6
229,200,100,7
230,200,100,6
231,200,100,5
232,200,100,5
233,200,100,8
234,200,100,9
235,200,100,7
236,200,100,3
237,200,100,8
238,200,100,5
239,200,100,6
240,200,100,7
241,200,100,4
242,200,100,9
243,200,100,6
244,200,100,9
245,200,100,7
246,200,100,4
247,200,100,8
248,200,100,6
249,200,100,4
250,200,100,6
251,200,100,5
252,200,100,7
253,200,100,7
254,200,100,10
255,200,100,7
256,200,100,4
257,200,100,6
258,200,100,8
259,200,100,6
260,200,100,8
261,200,100,8
262,200,100,6
263,200,100,7
264,200,100,5
265,200,100,6
266,200,100,7
267,200,100,6
268,200,100,5
269,200,100,5
270,200,100,6
271,200,100,5
272,200,100,5
273,200,100,7
274,200,100,9
275,200,100,8
276,200,100,6
277,200,100,7
278,200,100,7
279,200,100,8
280,200,100,5
281,200,100,6
282,200,100,10
283,200,100,9
284,200,100,5
285,200,100,8
286,200,100,9
287,200,100,6
288,200,100,6
289,200,100,8
290,200,100,5
291,200,100,7
292,200,100,6
293,200,100,5
294,200,100,8
295,200,100,7
296,200,100,7
297,200,100,9
298,200,100,5
299,200,100,8
300,200,100,8
301,200,100,6
302,200,100,5
303,200,100,8
304,200,100,10
305,200,100,5
306,200,100,6
307,200,100,7
308,200,100,10
309,200,100,6
310,200,100,6
311,200,100,8
312,200,100,6
313,200,100,10
314,200,100,6
315,200,100,6
316,200,100,6
317,200,100,10
318,200,100,9
319,200,100,8
320,200,100,5
321,200,100,7
322,200,100,10
323,200,100,7
324,200,100,5
325,200,100,7
326,200,100,7
327,200,100,6
328,200,100,5
329,200,100,8
330,200,100,7
331,200,100,8
332,200,100,9
333,200,100,8
334,200,100,7
335,200,100,6
336,200,100,5
337,200,100,7
338,200,100,7
339,200,100,8
340,200,100,7
341,200,100,4
342,200,100,9
343,200,100,6
344,200,100,7
345,200,100,9
346,200,100,6
347,200,100,7
348,200,100,6
349,200,100,7
350,200,100,6
351,200,100,5
352,200,100,5
