,sample,episode,number_of_iter
0,250,100,4
1,250,100,7
2,250,100,7
3,250,100,9
4,250,100,6
5,250,100,4
6,250,100,7
7,250,100,8
8,250,100,5
9,250,100,6
10,250,100,5
11,250,100,7
12,250,100,9
13,250,100,5
14,250,100,9
15,250,100,7
16,250,100,10
17,250,100,8
18,250,100,6
19,250,100,7
20,250,100,4
21,250,100,6
22,250,100,6
23,250,100,6
24,250,100,9
25,250,100,5
26,250,100,8
27,250,100,8
28,250,100,7
29,250,100,6
30,250,100,8
31,250,100,6
32,250,100,7
33,250,100,5
34,250,100,8
35,250,100,5
36,250,100,7
37,250,100,7
38,250,100,6
39,250,100,7
40,250,100,7
41,250,100,9
42,250,100,9
43,250,100,7
44,250,100,6
45,250,100,6
46,250,100,6
47,250,100,6
48,250,100,6
49,250,100,5
50,250,100,8
51,250,100,7
52,250,100,8
53,250,100,4
54,250,100,5
55,250,100,7
56,250,100,7
57,250,100,6
58,250,100,7
59,250,100,8
60,250,100,7
61,250,100,9
62,250,100,7
63,250,100,6
64,250,100,9
65,250,100,6
66,250,100,8
67,250,100,7
68,250,100,3
69,250,100,9
70,250,100,6
71,250,100,8
72,250,100,6
73,250,100,3
74,250,100,10
75,250,100,7
76,250,100,10
77,250,100,7
78,250,100,10
79,250,100,7
80,250,100,6
81,250,100,6
82,250,100,6
83,250,100,6
84,250,100,5
85,250,100,7
86,250,100,8
87,250,100,9
88,250,100,9
89,250,100,7
90,250,100,5
91,250,100,5
92,250,100,11
93,250,100,7
94,250,100,6
95,250,100,7
96,250,100,9
97,250,100,9
98,250,100,6
99,250,100,6
100,250,100,9
101,250,100,6
102,250,100,6
103,250,100,5
104,250,100,9
105,250,100,7
106,250,100,8
107,250,100,10
108,250,100,8
109,250,100,7
110,250,100,5
111,250,100,8
112,250,100,6
113,250,100,9
114,250,100,5
115,250,100,7
116,250,100,7
117,250,100,7
118,250,100,8
119,250,100,6
120,250,100,11
121,250,100,5
122,250,100,5
123,250,100,7
124,250,100,7
125,250,100,6
126,250,100,6
127,250,100,7
128,250,100,5
129,250,100,7
130,250,100,9
131,250,100,7
132,250,100,7
133,250,100,5
134,250,100,7
135,250,100,6
136,250,100,8
137,250,100,6
138,250,100,4
139,250,100,6
140,250,100,5
141,250,100,8
142,250,100,5
143,250,100,8
144,250,100,5
145,250,100,9
146,250,100,7
147,250,100,7
148,250,100,9
149,250,100,10
150,250,100,6
151,250,100,6
152,250,100,3
153,250,100,6
154,250,100,11
155,250,100,5
156,250,100,5
157,250,100,6
158,250,100,5
159,250,100,7
160,250,100,7
161,250,100,6
162,250,100,7
163,250,100,5
164,250,100,8
165,250,100,5
166,250,100,10
167,250,100,7
168,250,100,5
169,250,100,8
170,250,100,6
171,250,100,7
172,250,100,6
173,250,100,8
174,250,100,7
175,250,100,8
176,250,100,5
177,250,100,4
178,250,100,8
179,250,100,5
180,250,100,7
181,250,100,5
182,250,100,7
183,250,100,6
184,250,100,5
185,250,100,7
186,250,100,9
187,250,100,8
188,250,100,5
189,250,100,7
190,250,100,6
191,250,100,9
192,250,100,10
193,250,100,6
194,250,100,6
195,250,100,6
196,250,100,7
197,250,100,7
198,250,100,7
199,250,100,6
200,250,100,9
201,250,100,8
202,250,100,7
203,250,100,6
204,250,100,10
205,250,100,7
206,250,100,6
207,250,100,6
208,250,100,7
209,250,100,10
210,250,100,6
211,250,100,5
212,250,100,6
213,250,100,7
214,250,100,9
215,250,100,6
216,250,100,7
217,250,100,5
218,250,100,7
219,250,100,8
220,250,100,9
221,250,100,7
222,250,100,5
223,250,100,8
224,250,100,6
225,250,100,5
226,250,100,10
227,250,100,5
228,250,100,6
229,250,100,5
230,250,100,6
231,250,100,9
232,250,100,10
233,250,100,8
234,250,100,7
235,250,100,6
236,250,100,7
237,250,100,10
238,250,100,7
239,250,100,7
240,250,100,7
241,250,100,10
242,250,100,6
243,250,100,9
244,250,100,8
245,250,100,9
246,250,100,7
247,250,100,6
248,250,100,6
249,250,100,8
250,250,110,7
251,250,110,6
252,250,110,7
253,250,110,6
254,250,110,7
255,250,110,9
256,250,110,7
257,250,110,5
258,250,110,10
259,250,110,7
260,250,110,7
261,250,110,7
262,250,110,8
263,250,110,6
264,250,110,5
265,250,110,6
266,250,110,7
267,250,110,7
268,250,110,9
269,250,110,8
270,250,110,6
271,250,110,7
272,250,110,5
273,250,110,6
274,250,110,4
275,250,110,7
276,250,110,7
277,250,110,7
278,250,110,8
279,250,110,6
280,250,110,6
281,250,110,7
282,250,110,5
283,250,110,7
284,250,110,6
285,250,110,9
